node1,node2,distance
堀ノ内町,熊野町,422.5276665889492
堀ノ内町,篠木七丁目,1676.0393850911928
堀ノ内町,神領町東,1047.0828483082114
堀ノ内町,堀ノ内町東,574.1447346149276
堀ノ内町,篠木八丁目,1717.999681257569
白山橋,岩成台西,667.2847363479026
白山橋,北気噴,965.7315308948613
白山橋,繁田,872.7253367852019
白山橋,白山南,827.4848120714803
白山橋,白山,458.88128453719725
平和公園口,不二ヶ丘,1042.4775953352248
平和公園口,坂下六丁目,1543.1021488498575
平和公園口,中部大学前,1006.1507378691009
平和公園口,神明,1064.4313399742148
平和公園口,中部大学北,1327.8029626187672
尾張下原,大池住宅前,376.6700787010724
尾張下原,下原町,194.45673530881308
尾張下原,東山,492.0890292892734
尾張下原,下原本町,149.2251705526947
大池住宅前,下原町,424.4666280296562
大池住宅前,春日井自衛隊前,1416.5216900571666
大池住宅前,東山,478.47662396978757
大池住宅前,西山住宅前,942.8994218614556
下原町,東野町西3丁目,770.9215177320033
下原町,あさひ病院前,366.3237140482484
下原町,下原本町,283.8488377635174
下原町,西山住宅前,636.1904171464433
あさひ病院前,落合公園,725.4565617888264
あさひ病院前,東野町西3丁目,749.8180454916325
あさひ病院前,下原口,433.494859883497
あさひ病院前,東野小学校南,474.5920847373885
あさひ病院前,下原本町,108.76881932849719
落合公園,東野小学校南,423.2609285917762
落合公園,東野町,598.3925985767679
落合公園,東野,662.5919907130508
落合公園,東山住宅前,534.7658283323386
落合公園,東野新町,847.4208906843169
上条町南,熊野町,2765.505247649765
上条町南,熊野神社北,2427.588121238214
上条町南,上条町中,323.34342126682986
上条町南,下津保育園北,829.5962570994794
熊野町,熊野神社北,437.2474425823134
熊野町,篠木七丁目,1543.549204142016
熊野神社北,春日井駅南口,1593.0804317557374
熊野神社北,割塚町,1289.3773643803663
熊野神社北,上条町北,1863.8474202212012
熊野神社北,篠木七丁目,1505.7313718926519
熊野神社北,林島町,791.7642983078456
熊野神社北,上条町中,2169.636492253724
熊野神社北,篠木六丁目,1402.3497430763894
春日井駅南口,割塚町,450.8642237989365
春日井駅南口,上条町北,602.2915513897423
春日井駅南口,上条町2丁目,435.6817200855716
春日井駅南口,春日井駅,140.22355052768984
割塚町,林島町,612.1770344803182
割塚町,関田町,419.74962243389126
割塚町,春日井駅,353.3169339622937
割塚町,乙輪町,534.0051401448824
割塚町,春日井駅前,326.42242915702667
上条町北,上条町中,420.8254502921677
上条町北,上条町2丁目,453.88262303907226
篠木七丁目,篠木八丁目,390.30209823808
篠木七丁目,東山住宅前,928.034197654515
